ip|browser|os
213.87.139.xxx|safari_mobile|ios_double
213.87.146.xxx|yandexsearch|android
213.87.147.xxx|safari_mobile|ios_double
213.87.148.xxx|chromemobile|android
213.87.149.xxx|yandex_browser|android
213.87.150.xxx|safari_mobile|ios_double
213.87.151.xxx|mzbrowser|android
213.87.152.xxx|chromemobile|android
213.87.153.xxx|chromemobile|android
213.87.154.xxx|android_browser|android
213.87.155.xxx|chromemobile|android
213.87.156.xxx|safari_mobile|ios_double
213.87.158.xxx|chromemobile|android
213.87.159.xxx|safari_mobile|ios_double
213.87.160.xxx|safari_mobile|ios_double
213.87.161.xxx|chromemobile|android
213.87.162.xxx|yandex_browser|android
213.87.163.xxx|safari_mobile|ios_double
217.10.40.xxx|chrome|windows
217.11.66.xxx|firefox|windows
217.116.144.xxx|chrome|windows
217.118.93.xxx|android_browser|android
217.12.96.xxx|chrome|windows
217.25.149.xxx|chrome|windows
217.6.44.xxx|edge|windows
217.74.47.xxx|chrome|windows
23.101.169.xxx|msie|windows
31.13.145.xxx|chromemobile|android
31.13.38.xxx|yandex_browser|windows
31.148.136.xxx|chromemobile|android
31.148.138.xxx|chrome|windows
31.148.139.xxx|chrome|windows
31.148.204.xxx|samsung_internet|android
31.173.80.xxx|yandex_browser|android
31.173.81.xxx|msie|windows
31.173.82.xxx|yandexsearch|android
31.173.83.xxx|safari_mobile|ios_double
31.173.84.xxx|chromemobile|android
31.173.85.xxx|safari_mobile|ios_double
31.173.86.xxx|chromemobile|android
31.173.87.xxx|samsung_internet|android
31.209.103.xxx|opera|windows
31.42.36.xxx|chrome|windows
31.42.37.xxx|chrome|windows
31.42.40.xxx|chrome|windows
31.42.42.xxx|chrome|windows
31.42.47.xxx|edge|windows
34.210.83.xxx|firefox|windows
36.149.130.xxx|firefox|windows
37.1.17.xxx|chromium|gnu_linux
37.110.21.xxx|safari_mobile|ios_double
37.146.201.xxx|opera|windows
37.190.101.xxx|chromemobile|android
37.190.37.xxx|yandex_browser|windows
37.190.61.xxx|chrome|windows
37.190.87.xxx|chromemobile|android
37.190.89.xxx|yandexsearch|ios_double
37.190.96.xxx|opera|windows
37.20.131.xxx|chrome|windows
37.203.240.xxx|chrome|windows
37.203.242.xxx|msie|windows
37.204.148.xxx|chrome|windows
37.204.221.xxx|yandex_browser|windows
37.204.35.xxx|chrome|windows
37.208.68.xxx|samsung_internet|android
37.230.147.xxx|safari_mobile|ios_double
37.230.157.xxx|safari|macos
37.29.34.xxx|chromemobile|android
46.133.159.xxx|operamini|android
46.138.17.xxx|safari|macos
46.138.19.xxx|chrome|windows
46.138.21.xxx|chrome|windows
46.138.28.xxx|edge|windows
46.148.229.xxx|safari_mobile|ios_double
46.148.230.xxx|chromemobile|android
46.188.0.xxx|chrome|macos
46.211.102.xxx|operamini|android
46.241.72.xxx|edge|windows
46.242.11.xxx|msie|windows
46.242.12.xxx|firefox|windows
46.242.124.xxx|yandex_browser|windows
46.242.125.xxx|yandex_browser|android
46.242.127.xxx|ucbrowser|android
46.242.13.xxx|safari_mobile|ios_double
46.242.8.xxx|chromemobile|android
46.242.9.xxx|samsung_internet|android
46.38.44.xxx|safari_mobile|ios_double
46.39.230.xxx|chromemobile|android
46.39.231.xxx|chromemobile|android
46.39.240.xxx|chrome|windows
46.39.248.xxx|safari_mobile|ios_double
46.39.249.xxx|yandexsearch|android
46.39.34.xxx|chrome|windows
46.39.36.xxx|yandexsearch|android
46.39.46.xxx|safari_mobile|ios_double
46.39.48.xxx|safari_mobile|ios_double
46.39.54.xxx|yandexsearch|android
46.46.158.xxx|firefox|windows
46.71.27.xxx|googlesearch|ios_double
46.8.188.xxx|chrome|windows
5.101.14.xxx|safari_mobile|ios_double
5.104.200.xxx|chrome|windows
5.18.251.xxx|chrome|windows
5.228.45.xxx|chromemobile|android
5.62.39.xxx|chrome|windows
5.76.28.xxx|chrome|windows
62.117.91.xxx|edge|windows
62.117.99.xxx|chrome|windows
62.133.191.xxx|firefox|windows
62.220.59.xxx|chrome|windows
62.32.80.xxx|chrome|windows
62.33.236.xxx|chrome|windows
77.108.79.xxx|chrome|windows
77.108.97.xxx|firefox|windows
77.219.5.xxx|chromemobile|android
77.232.10.xxx|samsung_internet|android
77.236.230.xxx|googlesearch|ios_double
77.239.231.xxx|chrome|windows
77.244.124.xxx|operamini|java_me
77.50.139.xxx|chrome|windows
77.50.31.xxx|chromemobile|android
77.93.60.xxx|yandex_browser|windows
77.94.189.xxx|yandex_browser|windows
78.153.144.xxx|chromemobile|android
78.40.106.xxx|chromemobile|android
79.120.114.xxx|chrome|windows
79.120.37.xxx|yandex_browser|windows
79.139.152.xxx|chromemobile|android
80.243.11.xxx|chrome|windows
80.243.13.xxx|amigo|windows
80.243.2.xxx|yandex_browser|windows
80.243.4.xxx|chrome|windows
80.243.5.xxx|firefox|windows
80.243.6.xxx|chrome|windows
80.243.8.xxx|chrome|windows
80.243.9.xxx|opera|windows
80.247.113.xxx|msie|windows
80.253.23.xxx|chrome|windows
80.253.31.xxx|yandex_browser|windows
80.66.158.xxx|safari_mobile|ios_double
80.68.68.xxx|safari_mobile|ios_double
80.90.126.xxx|chrome|windows
80.92.107.xxx|chrome|windows
80.93.120.xxx|chrome|windows
81.200.14.xxx|chrome|windows
81.200.16.xxx|chrome|windows
81.200.17.xxx|yandexsearch|android
81.200.18.xxx|opera|windows
81.88.118.xxx|msie|windows
81.9.48.xxx|chrome|windows
82.102.23.xxx|chromemobile|android
82.138.13.xxx|chrome|windows
82.144.71.xxx|msie|windows
82.179.184.xxx|firefox|windows
82.179.191.xxx|firefox|windows
82.179.63.xxx|safari_mobile|ios_double
82.198.189.xxx|chrome|windows
82.204.244.xxx|edge|windows
83.11.47.xxx|chromemobile|android
83.167.104.xxx|chrome|windows
83.169.216.xxx|yandexsearch|android
83.217.204.xxx|chrome|windows
83.220.236.xxx|yandex_browser|ios_double
83.220.237.xxx|yandexsearch|android
83.220.238.xxx|safari_mobile|ios_double
83.220.239.xxx|safari_mobile|ios_double
83.220.35.xxx|chrome|windows
83.237.164.xxx|chrome|windows
84.253.69.xxx|msie|windows
84.47.186.xxx|edge|windows
85.115.224.xxx|googlesearch|ios_double
85.119.78.xxx|yandex_browser|windows
85.198.70.xxx|chrome|windows
85.21.11.xxx|chrome|windows
85.26.165.xxx|chromemobile|android
85.26.234.xxx|chromemobile|android
85.26.235.xxx|safari_mobile|ios_double
85.30.212.xxx|yandex_browser|windows
85.30.234.xxx|safari_mobile|ios_double
87.236.185.xxx|safari_mobile|ios_double
87.245.160.xxx|chrome|windows
87.245.166.xxx|yandex_browser|windows
